nama_produk,kategori,username,rating,ulasan,tanggal
Infinix Hot 30i 8/128GB,handphone,dede,5,"barang segel fulSet, warna sesuai, pengiriman kilat, Terimakasih Seller",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,A***i,5,"pengiriman cepat, seller garcep cm blm di coba. moga aja gak ada kendala",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Abdul,5,"mantabs.. keren, spek sesuai. barang selamat aman sentosa.",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,I***n,5,"pekingannya rapih dan bagus ,kurirnya ramah dan sopan ,barangnya pun sesuai ,baguss polll👍👍👍",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Sadam,5,"Alhamdulillah barang sudah sampai dengan baik, toko amanah mantap, terimakasih toko berkah slalu siip 👍😊",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Nur,5,"sellernya fast respon banget, pengiriman cepat puas banget",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Slamet,5,luar biasa respond cepat pengiriman secepat kilat barang oke banget Terima kasih gan sukses selalu,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,S***a,4,"Pengiriman cepat, seller responsif",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,ari,4,sudah test bagus,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Nardi,3,"Barang Sdh sampai, respon toko nya cepat n hp berfungsi dgn baik , thx y kak 🙏",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Syamsudin,3,Alhamdulillah sudah diterima dengan baik dan lengkap masih segel👍🥰,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,RIADI,3,sesuai dengan apa yang di deskripsi . pengiriman aman . dan sangat amanah,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,L***i,3,"barang datang sesuai pesanan, tersegel dgn rapi,pengiriman sesuai estimasi pilihan pelanggan,produk ori. seller ramah , terima kasih untuk kurir, 👍👌",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,komarudin,3,Barang berfungsi dengan baik dan masih segel puas lah Toko nya amanah auto⭐⭐⭐⭐⭐,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Danang,3,terimakasih banyak atas pelayanannya yang baik dan sukses selalu untuk usahanya 🙏,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Nur,3,"barang segel sesuai pic,,,seller cepet bgt responnya",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,O***e,3,sesuai deskripsi..terimakasi maju terus bareng tokped ;),Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,S***n,3,"Kecepatan bintang 4, Pesan sore, besok sore sampai tujuan Magelang Jateng packing aman Barang ori penjual jempol",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Besti,3,barang di segel..dan bagus..,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Y***i,3,bagus harga bersahabat berfungsi dengan baik,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,SABAN,3,semoga awet.packing aman.pengiriman cepat .,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,R,3,barang sesuai pesanan dan respon cepat thks,Lebih dari 1 tahun lalu
